,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
25,Virginia Tech,ACC,35,20,109.5,97.8,0.7855,50.0,49.0,18.0,17.9,30.3,31.8,49.4,33.5,49.1,50.1,34.8,31.3,70.5,-0.5,,,2016
26,Wake Forest,ACC,31,11,106.9,99.4,0.6977,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,72.4,-6.2,,,2016
27,Albany,AE,32,23,104.7,102.1,0.5703,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,-4.0,,,2016
28,Binghamton,AE,30,8,89.3,102.1,0.1763,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45.0,49.0,28.4,33.7,66.6,-17.3,,,2016
29,Hartford,AE,32,9,99.4,114.2,0.1685,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54.0,35.4,34.7,70.2,-17.7,,,2016
30,Maine,AE,30,8,94.5,113.6,0.1081,49.2,55.5,20.8,21.0,27.9,32.3,32.0,38.0,48.3,55.6,33.9,36.9,77.8,-17.4,,,2016
31,New Hampshire,AE,31,18,98.7,104.5,0.3402,46.7,50.2,16.8,15.1,29.5,21.7,36.6,34.5,45.0,48.6,33.2,35.3,68.1,-7.6,,,2016
32,UMass Lowell,AE,28,10,99.4,115.0,0.1581,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,73.7,-13.2,,,2016
33,UMBC,AE,32,7,98.6,117.3,0.1193,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38.0,70.1,-20.5,,,2016
34,Vermont,AE,36,22,107.3,105.8,0.5414,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37.0,68.5,-6.6,,,2016
35,East Carolina,Amer,32,12,102.3,104.2,0.4472,49.0,51.2,19.4,18.4,28.8,32.3,34.6,26.8,47.8,52.2,33.9,33.1,68.0,-10.6,,,2016
36,Houston,Amer,32,22,116.2,104.6,0.7703,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36.0,52.1,48.3,34.8,30.3,67.3,-1.2,,,2016
37,Memphis,Amer,34,19,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,,,2016
38,SMU,Amer,30,25,117.2,97.1,0.8974,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,52.5,44.6,42.0,33.1,66.6,3.6,,,2016
39,South Florida,Amer,33,8,97.6,103.8,0.3312,45.4,47.2,21.9,14.3,34.6,32.5,33.0,35.6,46.2,46.9,28.6,31.9,67.7,-14.8,,,2016
40,Tulane,Amer,34,13,96.8,99.9,0.4118,45.4,48.4,19.5,18.4,32.1,29.8,31.3,36.2,45.5,46.4,30.1,35.2,68.5,-11.1,,,2016
41,UCF,Amer,30,12,99.9,102.1,0.4376,49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,50.1,46.4,31.8,32.3,68.6,-10.1,,,2016
42,Jacksonville,ASun,28,12,100.3,108.4,0.2895,49.7,53.6,15.4,17.4,27.0,26.1,31.4,33.5,45.0,52.7,38.9,36.6,71.3,-11.7,,,2016
43,Kennesaw St.,ASun,29,9,100.7,107.9,0.3109,48.7,53.2,18.5,18.0,28.3,34.6,33.5,39.0,47.2,54.0,35.1,34.5,69.7,-13.0,,,2016
44,Lipscomb,ASun,31,10,101.5,109.1,0.3032,51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,50.5,51.1,35.2,37.0,73.9,-16.0,,,2016
45,NJIT,ASun,34,19,100.7,104.6,0.3919,51.8,51.3,18.2,19.2,26.8,31.1,33.7,35.7,51.1,50.6,35.1,34.9,69.9,-8.8,,,2016
46,North Florida,ASun,31,19,113.5,113.1,0.5103,57.9,51.8,15.3,14.4,24.1,33.4,28.7,27.1,54.7,51.8,40.9,34.6,71.3,-5.1,,,2016
47,Stetson,ASun,30,8,103.0,113.7,0.2436,51.2,54.5,16.8,15.7,25.2,32.9,33.8,30.8,49.4,54.7,36.2,35.9,71.4,-16.6,,,2016
48,USC Upstate,ASun,28,7,100.0,114.3,0.1782,50.1,54.6,20.2,15.1,33.1,31.9,30.9,36.6,48.4,53.1,35.7,38.1,67.2,-16.2,,,2016
49,Illinois,B10,34,15,105.5,102.0,0.5959,50.2,53.6,14.9,19.0,21.5,28.1,30.5,26.5,47.5,51.0,36.3,38.6,69.0,-7.2,,,2016
50,Minnesota,B10,31,8,99.6,102.9,0.4079,45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,45.6,48.7,31.0,38.2,69.4,-12.8,,,2016
51,Nebraska,B10,34,16,109.0,100.7,0.7133,50.3,50.1,17.4,19.7,31.8,28.1,32.6,39.7,49.4,47.5,34.7,36.7,68.2,-5.5,,,2016
52,Northwestern,B10,32,20,109.8,99.2,0.7618,52.5,46.5,15.8,16.4,30.5,28.3,28.4,35.0,51.6,43.4,35.8,34.5,64.5,-2.0,,,2016
53,Ohio St.,B10,35,21,105.6,96.7,0.735,49.4,46.6,18.8,17.1,30.2,29.1,36.0,30.4,49.0,44.5,33.4,33.4,68.5,-1.1,,,2016
54,Penn St.,B10,32,16,101.3,99.7,0.5465,46.6,48.8,16.9,17.6,28.7,29.4,34.5,42.5,45.9,45.5,31.7,36.6,67.0,-4.8,,,2016
55,Rutgers,B10,31,6,97.5,106.7,0.261,45.8,52.0,18.9,16.1,25.3,35.9,34.5,29.7,44.9,49.9,32.2,37.4,71.4,-14.0,,,2016
56,Kansas St.,B12,33,17,108.5,93.8,0.8431,47.6,49.0,20.3,20.8,37.0,31.0,42.5,40.4,48.7,50.4,30.0,31.0,67.6,-1.3,,,2016
57,Oklahoma St.,B12,32,10,105.7,97.0,0.7298,48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,47.8,44.7,32.8,34.2,65.1,-6.7,,,2016
58,TCU,B12,33,12,100.1,97.0,0.5873,45.7,50.9,20.7,21.1,29.3,31.5,45.6,41.4,43.7,50.2,33.5,34.8,70.3,-6.7,,,2016
59,Creighton,BE,35,20,112.8,96.3,0.8604,53.8,49.0,16.1,17.5,27.3,26.1,37.5,33.5,54.5,47.5,35.2,34.6,71.3,-1.8,,,2016
60,DePaul,BE,31,9,103.9,104.1,0.4935,49.4,51.4,21.5,17.8,30.7,29.9,36.5,44.8,48.6,49.2,34.3,36.4,68.1,-9.3,,,2016
61,Georgetown,BE,33,15,111.3,98.0,0.8118,51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,51.4,44.1,33.9,34.9,68.9,-4.2,,,2016
62,Marquette,BE,33,20,108.9,98.5,0.7601,52.0,48.7,20.0,19.0,28.1,30.7,40.5,28.0,52.4,47.2,33.9,34.3,71.3,-1.0,,,2016
63,St. John's,BE,31,7,96.3,100.6,0.3775,45.4,51.1,20.9,20.1,27.5,30.9,38.0,43.3,44.1,49.1,32.0,36.6,72.9,-11.2,,,2016
64,Eastern Washington,BSky,32,16,111.6,112.9,0.4674,56.4,54.0,16.1,15.9,26.7,29.2,35.9,37.9,55.4,53.3,38.4,37.4,69.4,-10.7,,,2016
65,Idaho,BSky,32,19,98.3,102.8,0.3743,48.7,49.5,22.7,18.9,34.4,25.3,44.6,41.7,46.1,48.1,36.3,34.3,66.7,-7.6,,,2016
66,Idaho St.,BSky,29,14,98.4,107.8,0.2612,50.1,51.7,18.3,17.4,24.7,28.4,38.5,35.4,48.0,52.2,35.7,34.0,71.0,-10.9,,,2016
67,Montana,BSky,30,18,105.5,104.2,0.5345,53.4,49.5,18.3,18.7,28.4,24.9,36.8,45.3,51.8,49.5,37.3,33.0,66.1,-5.7,,,2016
68,Montana St.,BSky,30,13,106.4,111.6,0.3654,50.8,53.9,17.3,16.9,33.0,27.5,30.7,46.3,47.2,53.4,37.2,36.5,69.3,-12.3,,,2016
69,North Dakota,BSky,30,14,99.4,101.4,0.4438,50.6,51.2,18.1,19.6,23.8,25.9,39.3,38.6,48.7,51.0,36.7,34.4,72.4,-10.5,,,2016
70,Northern Arizona,BSky,28,3,92.6,112.9,0.0926,45.2,56.2,18.1,17.5,22.3,29.6,36.1,34.3,42.3,53.9,33.4,39.9,71.2,-18.8,,,2016
71,Northern Colorado,BSky,29,8,101.0,117.3,0.1513,50.7,55.9,19.9,17.7,29.2,29.8,43.4,48.4,48.8,54.4,36.4,38.8,69.6,-16.0,,,2016
72,Portland St.,BSky,29,11,102.0,109.5,0.307,51.2,53.3,17.4,19.1,28.7,30.7,33.9,32.8,52.7,51.4,31.5,38.3,72.8,-13.9,,,2016
73,Sacramento St.,BSky,29,12,96.8,108.1,0.2178,49.3,50.1,16.7,17.6,26.3,31.2,34.9,37.9,49.2,50.9,33.1,32.5,69.3,-12.9,,,2016
74,Southern Utah,BSky,28,4,97.3,117.8,0.1001,49.3,57.7,18.8,17.4,23.9,31.2,35.4,45.0,46.5,55.0,36.4,42.2,68.8,-18.6,,,2016
75,Campbell,BSth,27,9,99.6,113.1,0.1871,49.5,53.5,16.4,18.9,22.0,30.6,41.4,39.3,50.7,52.1,31.7,37.8,69.2,-15.1,,,2016
76,Charleston Southern,BSth,27,6,97.8,110.5,0.1959,50.0,54.0,17.9,16.1,24.7,26.9,27.4,37.7,49.4,52.6,33.8,37.4,69.2,-15.5,,,2016
77,Coastal Carolina,BSth,30,18,100.7,101.5,0.4796,49.5,46.3,18.8,15.3,30.6,29.0,35.7,31.7,49.1,46.2,33.4,30.9,67.5,-7.0,,,2016
78,Gardner Webb,BSth,30,14,100.1,106.6,0.3269,47.7,51.4,18.6,18.8,31.6,29.3,34.9,39.7,46.0,51.1,33.5,34.7,70.1,-10.3,,,2016
79,High Point,BSth,29,18,109.2,109.5,0.4905,51.9,52.9,15.9,20.6,31.9,31.7,35.0,32.3,49.8,53.3,38.2,34.7,66.9,-5.7,,,2016
80,Liberty,BSth,29,10,97.9,110.8,0.19399999999999998,53.1,53.0,21.3,18.1,21.0,29.5,25.5,43.6,52.0,52.1,36.1,36.4,63.9,-14.0,,,2016
81,Longwood,BSth,30,7,99.2,113.9,0.1695,50.7,54.1,20.5,17.3,29.6,28.1,34.3,36.4,49.8,51.6,34.9,38.2,70.0,-18.6,,,2016
82,Presbyterian,BSth,28,8,93.0,110.1,0.1254,47.3,52.5,21.0,19.0,26.0,31.4,34.8,38.8,47.7,53.3,30.8,34.2,68.4,-15.8,,,2016
83,Radford,BSth,29,14,102.0,109.0,0.3182,50.2,51.3,19.3,17.0,34.4,30.1,29.0,34.3,49.5,51.6,34.4,33.8,66.8,-10.0,,,2016
84,Winthrop,BSth,29,20,105.8,107.4,0.4576,54.2,47.7,17.8,15.9,26.0,32.0,41.1,31.9,53.9,47.1,36.4,32.7,73.7,-4.9,,,2016
85,Cal Poly,BW,28,8,106.6,109.6,0.4223,48.0,53.2,15.1,15.9,30.1,28.3,35.2,40.2,44.9,50.0,35.4,40.0,67.3,-12.0,,,2016
86,Cal St. Fullerton,BW,28,8,101.4,108.4,0.3165,46.4,50.7,19.0,16.4,29.7,29.0,43.7,39.7,44.4,48.1,33.3,36.6,69.5,-13.7,,,2016
87,Cal St. Northridge,BW,28,8,99.2,105.8,0.32299999999999995,46.7,51.7,19.4,18.9,27.6,31.3,42.1,36.0,47.1,47.8,30.2,39.7,71.3,-13.4,,,2016
88,Long Beach St.,BW,33,18,108.0,99.8,0.711,49.7,51.1,17.4,19.8,27.7,30.6,37.6,38.7,46.4,50.3,36.7,35.0,70.9,-3.0,,,2016
89,UC Davis,BW,28,9,93.0,98.8,0.3345,47.9,48.3,20.7,19.7,25.0,28.4,33.6,31.8,45.5,48.7,35.9,31.7,66.9,-12.9,,,2016
90,UC Irvine,BW,36,26,105.5,96.7,0.7317,51.1,44.6,18.2,17.4,29.1,28.2,35.1,34.7,49.3,41.6,36.7,33.2,68.1,-0.8,,,2016
91,UC Riverside,BW,31,12,99.6,104.6,0.3652,48.9,49.1,19.7,17.2,28.4,28.1,36.8,38.3,47.0,47.6,34.5,34.8,68.0,-13.2,,,2016
92,UC Santa Barbara,BW,32,18,106.3,97.9,0.7195,50.3,46.7,18.5,17.5,28.8,27.9,27.4,41.8,48.4,47.8,35.8,30.0,67.6,-4.8,,,2016
93,College of Charleston,CAA,30,16,96.4,93.3,0.5922,47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,45.6,48.2,34.0,32.0,65.0,-7.3,,,2016
94,Delaware,CAA,30,7,100.5,109.9,0.2635,45.3,51.8,17.7,13.5,29.6,28.0,42.2,31.9,43.7,51.4,32.5,34.8,68.1,-15.3,,,2016
95,Drexel,CAA,30,6,98.8,105.7,0.3161,44.3,52.5,16.8,18.1,27.7,28.8,36.9,47.4,42.3,51.5,32.7,36.5,65.5,-16.4,,,2016
96,Elon,CAA,30,14,105.0,105.2,0.4927,51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,52.5,49.1,33.9,35.3,72.4,-8.5,,,2016
97,Hofstra,CAA,33,23,110.1,102.9,0.6855,51.4,49.9,16.7,16.4,31.9,30.0,39.5,24.0,50.1,48.3,35.6,35.3,70.4,-1.6,,,2016
98,James Madison,CAA,31,20,106.0,98.7,0.6935,51.6,45.5,17.2,15.4,29.5,27.0,37.0,37.0,50.9,47.3,35.0,28.7,67.7,-4.3,,,2016
99,Northeastern,CAA,32,17,106.2,102.3,0.6055,51.7,51.7,18.2,17.2,25.9,28.8,38.7,27.9,48.5,52.0,37.2,33.9,66.2,-7.0,,,2016
100,Towson,CAA,31,18,104.5,103.2,0.5364,46.9,48.4,17.9,17.7,38.3,27.3,45.1,41.0,46.3,46.2,32.1,35.2,66.6,-6.2,,,2016
101,William & Mary,CAA,29,18,112.4,103.6,0.7192,54.9,49.5,15.9,15.3,25.8,27.2,36.6,27.9,54.8,49.4,36.7,33.1,69.2,-3.8,,,2016
102,Charlotte,CUSA,33,14,103.4,108.2,0.3726,51.0,54.8,16.4,18.3,29.7,27.7,33.2,30.9,47.7,52.7,38.2,39.3,71.2,-12.7,,,2016
103,FIU,CUSA,30,11,102.2,107.3,0.3646,52.0,48.1,19.3,14.2,30.8,29.4,35.6,35.7,50.7,47.1,36.8,33.1,66.0,-14.6,,,2016
104,Florida Atlantic,CUSA,31,7,95.0,107.9,0.1885,46.7,50.0,17.6,16.6,23.1,32.9,32.3,37.7,44.2,49.0,34.1,35.4,68.4,-17.3,,,2016
105,Louisiana Tech,CUSA,31,21,102.7,102.8,0.4979,51.3,49.2,16.9,19.0,28.8,29.0,43.0,34.1,52.0,49.7,33.3,32.0,72.5,-4.3,,,2016
106,Marshall,CUSA,33,17,109.8,107.3,0.564,54.2,52.3,16.4,17.1,26.6,30.9,31.2,35.9,57.2,50.7,33.7,37.4,78.0,-8.7,,,2016
107,North Texas,CUSA,30,10,100.5,111.4,0.2333,49.3,53.3,19.5,17.2,30.3,31.2,44.1,42.5,49.8,52.7,32.2,36.2,70.7,-14.7,,,2016
108,Old Dominion,CUSA,38,25,105.5,97.9,0.7012,47.9,45.5,14.4,17.2,36.6,27.1,31.0,35.8,48.7,44.4,30.1,31.5,62.2,-6.5,,,2016
109,Rice,CUSA,30,10,104.7,115.6,0.2413,51.2,56.2,17.9,18.4,26.7,32.2,41.5,36.7,53.4,52.7,31.9,41.8,70.7,-14.8,,,2016
110,Southern Miss,CUSA,27,7,94.6,109.5,0.1566,49.4,51.6,20.3,17.7,23.3,29.4,36.1,38.9,45.2,50.2,35.9,35.5,64.1,-15.9,,,2016
111,UAB,CUSA,32,25,108.1,103.8,0.6163,53.6,48.6,17.8,18.0,32.4,30.4,33.4,29.8,52.6,48.1,37.0,33.1,69.0,-1.0,,,2016
112,UTEP,CUSA,32,18,102.9,106.2,0.4097,52.4,49.5,17.1,19.2,24.5,31.7,40.9,36.6,51.3,48.3,36.5,34.2,72.5,-9.7,,,2016
113,UTSA,CUSA,30,4,96.9,116.0,0.1125,47.0,59.0,18.1,17.2,26.0,27.8,37.4,46.2,46.5,57.2,32.1,41.3,73.1,-20.4,,,2016
114,Western Kentucky,CUSA,32,16,108.1,107.8,0.509,52.5,52.4,19.0,15.0,33.6,28.6,39.6,30.0,51.5,50.4,36.3,37.3,67.8,-9.5,,,2016
115,Cleveland St.,Horz,30,7,90.3,101.4,0.2077,44.8,51.6,21.8,19.9,29.4,31.7,30.9,46.6,43.4,50.7,32.0,35.5,64.9,-15.9,,,2016
116,Detroit,Horz,29,14,109.8,110.8,0.474,52.0,53.6,17.8,17.2,32.5,29.4,40.5,46.5,50.6,53.7,36.5,35.6,74.5,-8.4,,,2016
117,Illinois Chicago,Horz,28,3,89.7,105.7,0.1308,41.5,49.3,21.1,15.7,31.9,30.7,43.2,39.6,40.3,46.6,30.4,36.4,72.2,-19.6,,,2016
118,Milwaukee,Horz,31,18,111.1,106.4,0.6222,52.8,51.4,15.8,15.6,27.1,25.6,38.3,29.6,51.9,48.7,35.9,38.3,67.1,-6.7,,,2016
119,Northern Kentucky,Horz,28,7,99.4,107.8,0.2828,50.3,50.2,19.7,16.1,26.5,29.4,31.2,42.6,48.6,47.9,35.3,36.8,68.2,-14.0,,,2016
120,Oakland,Horz,35,23,114.6,106.2,0.7053,53.1,49.6,15.2,16.5,31.2,29.5,41.8,32.1,49.3,48.1,39.8,34.9,74.5,-3.4,,,2016
121,Valparaiso,Horz,35,28,106.6,91.8,0.8476,50.7,44.5,19.0,18.5,35.2,24.8,35.1,38.7,48.3,41.5,36.5,33.9,67.5,0.4,,,2016
122,Wright St.,Horz,33,20,100.4,97.3,0.5879,51.4,48.6,16.5,20.6,19.1,25.5,33.0,48.3,48.3,48.1,37.8,33.0,66.3,-6.1,,,2016
123,Youngstown St.,Horz,30,9,101.6,113.3,0.2215,49.0,53.6,15.6,15.7,22.7,33.8,29.8,32.5,45.5,54.5,37.0,34.6,73.2,-14.0,,,2016
124,Brown,Ivy,27,7,101.0,110.8,0.2578,50.2,50.8,18.8,16.0,25.6,31.3,36.9,36.4,47.8,48.5,35.9,36.6,71.6,-14.0,,,2016
125,Columbia,Ivy,33,23,111.8,105.9,0.6512,53.5,51.5,15.9,19.0,28.5,26.9,37.9,34.6,50.5,50.2,38.1,35.7,65.9,-4.3,,,2016
126,Cornell,Ivy,27,9,96.7,107.6,0.2276,48.7,51.5,17.9,19.8,22.4,36.1,32.3,35.8,47.0,49.7,34.1,36.4,73.3,-11.6,,,2016
127,Dartmouth,Ivy,27,9,98.9,103.5,0.3717,47.5,52.7,20.8,20.9,32.8,29.7,38.2,42.3,45.9,52.7,34.3,35.1,68.2,-12.4,,,2016
128,Harvard,Ivy,28,12,99.3,99.1,0.5035,51.8,46.6,21.5,16.8,29.6,28.4,31.5,33.5,48.1,46.4,39.2,31.3,66.9,-8.9,,,2016
129,Penn,Ivy,27,10,98.4,107.1,0.273,49.0,49.8,19.4,16.7,27.9,30.5,31.9,33.5,51.3,48.7,30.4,34.8,68.6,-10.9,,,2016
130,Princeton,Ivy,28,21,112.2,99.9,0.7909999999999999,54.2,49.2,16.2,18.2,28.0,26.3,33.9,31.1,52.0,47.6,38.1,35.4,69.5,-0.1,,,2016
131,Canisius,MAAC,33,14,106.6,113.3,0.3338,49.0,54.9,15.9,19.6,31.0,32.8,36.9,39.0,47.5,53.6,34.1,38.0,68.5,-13.7,,,2016
132,Fairfield,MAAC,33,19,102.8,106.2,0.4057,51.3,49.6,17.6,18.9,24.8,34.1,32.6,34.1,50.0,49.1,35.4,33.7,72.4,-7.1,,,2016
133,Manhattan,MAAC,31,13,98.4,105.5,0.3108,50.1,52.2,20.5,22.6,23.5,32.5,39.8,46.8,47.6,52.9,36.1,33.7,68.8,-12.6,,,2016
134,Marist,MAAC,30,7,100.7,116.0,0.1641,49.4,53.6,17.3,16.9,24.3,32.0,35.9,36.6,48.1,51.6,34.2,38.2,68.9,-18.8,,,2016
135,Monmouth,MAAC,36,28,105.7,98.1,0.7016,49.9,46.1,16.5,20.1,28.6,30.7,38.4,37.2,47.2,45.3,36.6,31.4,73.6,-0.2,,,2016
136,Niagara,MAAC,32,7,92.8,107.3,0.1578,44.9,49.0,21.1,16.9,32.8,31.3,34.0,35.5,46.2,46.4,28.2,35.7,66.8,-19.4,,,2016
137,Quinnipiac,MAAC,30,9,91.5,102.3,0.2167,42.8,46.5,21.7,17.4,38.4,29.3,28.0,40.1,38.3,46.5,34.1,31.0,69.6,-16.7,,,2016
138,Rider,MAAC,33,13,98.1,103.6,0.34700000000000003,48.3,47.8,19.2,18.2,28.6,29.4,35.4,32.4,48.9,45.7,31.5,34.0,65.3,-14.1,,,2016
139,Saint Peter's,MAAC,30,14,95.1,101.3,0.3266,47.7,47.8,19.5,17.7,30.4,26.3,35.1,31.7,47.0,45.7,32.7,34.1,65.7,-10.7,,,2016
140,Siena,MAAC,34,21,106.8,104.0,0.5747,52.0,47.2,22.2,17.3,39.1,30.0,40.8,38.4,50.7,46.7,36.8,32.1,71.1,-6.4,,,2016
141,Akron,MAC,34,25,109.0,100.5,0.7187,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48.0,47.5,38.2,30.1,68.3,-1.4,,,2016
142,Ball St.,MAC,34,20,102.1,102.1,0.4994,52.2,46.8,19.9,16.5,28.0,26.3,34.8,38.6,49.9,43.7,36.9,35.1,66.2,-8.3,,,2016
143,Bowling Green,MAC,32,14,99.1,105.8,0.3201,48.9,50.9,18.5,17.1,28.1,28.4,40.2,35.9,47.2,47.3,35.4,37.9,69.3,-11.9,,,2016
144,Central Michigan,MAC,30,14,110.3,108.3,0.5524,51.7,51.0,13.6,15.9,26.5,31.5,30.0,35.2,50.8,50.7,35.2,34.4,67.4,-9.2,,,2016
145,Eastern Michigan,MAC,29,14,105.7,104.4,0.5343,48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,49.5,47.6,31.5,36.8,71.2,-7.8,,,2016
146,Kent St.,MAC,31,18,105.4,106.8,0.4623,49.0,51.0,17.5,16.8,34.1,28.0,40.0,35.1,49.0,49.5,32.8,35.9,68.2,-7.0,,,2016
147,Miami OH,MAC,32,12,96.4,103.6,0.3055,45.3,51.2,18.5,20.8,27.9,31.2,36.1,38.6,44.8,49.2,30.8,35.9,65.3,-13.4,,,2016
148,Northern Illinois,MAC,30,17,100.5,100.8,0.4918,47.8,49.0,18.5,19.9,32.1,27.7,41.7,41.3,44.8,46.4,35.6,35.2,68.6,-6.7,,,2016
149,Ohio,MAC,34,22,110.1,106.5,0.5952,54.2,49.6,16.9,14.5,24.9,25.8,37.4,33.5,52.3,47.1,38.2,36.4,70.7,-5.3,,,2016
